Field=#~Integer~#~50|Field=Line #~String~Line #~100|Field=Name~String~Name~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Quantity~Integer~Quantity~100|Field=Manufacturer 1~String~Manufacturer 1~100|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~100|Field=Manufacturer Lifecycle 1~String~Manufacturer Lifecycle 1~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~100|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~100|Field=Manufacturer 2~String~Manufacturer 2~100|Field=Manufacturer Lifecycle 2~String~Manufacturer Lifecycle 2~100|Field=Manufacturer Part Number 2~String~Manufacturer Part Number 2~100|Field=Supplier 2~String~Supplier 2~100|Field=Supplier Currency 2~String~Supplier Currency 2~100|Field=Supplier Order Qty 2~Integer~Supplier Order Qty 2~100|Field=Supplier Part Number 2~String~Supplier Part Number 2~100|Field=Supplier Stock 1~Integer~Supplier Stock 1~100|Field=Supplier Stock 2~Integer~Supplier Stock 2~100|Field=Supplier Subtotal 2~Float~Supplier Subtotal 2~100|Field=Supplier Unit Price 2~Float~Supplier Unit Price 2~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~2|ReportField=ProjectFileName~GameBoard_V1I1.PrjPcb|ReportField=ProjectFullPath~C:\Users\mbeach\Documents\Altium\Projects\Design Files\iMX6 GameBoard\V1I1\GameBoard_V1I1.PrjPcb|ReportField=Title~Bill of Materials For BOM Document [GameBoard_V1I1.BomDoc]|ReportField=ReportTime~12:49:34 AM|ReportField=ReportDate~11/3/2018|ReportField=ReportDateTime~11/3/2018 12:49:34 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~Prototype|ReportField=TotalQuantity~1482|ReportField=TotalActualPrice~5761.51|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=ClientCompanyName~BeachBoards|ReportField=ClientContactEmail~beachm720@gmail.com|ReportField=ClientContactName~Matthew Beach|ReportField=ClientWebsite~|ReportField=Company~(c) 2018 BEACHBOARDS|ReportField=NotFitted~NF|ReportField=Project~GameBoard|ReportField=VersionRevision~V1I1|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~11/3/2018|ReportField=CurrentTime~12:44:06 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\mbeach\Documents\Altium\Projects\Design Files\iMX6 GameBoard\V1I1\[01] - COVER PAGE.SchDoc|ReportField=DocumentName~[01] - COVER PAGE.SchDoc|ReportField=DocumentNumber~1|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~5/10/2018|ReportField=Organization~|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=True:CenterVertical=True:PrintScale=0.52:XCorrection=1.00:YCorrection=1.00:PrintKind=1:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=2:PaperLength=1000:PaperWidth=1000:Scale=100:PaperSource=4:PrintQuality=600:MediaType=1:DitherType=10:PrintScaleMode=1:PaperKind=A4:PaperIndex=9|ReportField=ProjectName~GameBoard_V1I1.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~34|ReportField=Time~|ReportField=Title~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~GameBoard_V1I1.BomDoc|ReportField=DataSourceFullPath~C:\Users\mbeach\Documents\Altium\Projects\Design Files\iMX6 GameBoard\V1I1\GameBoard_V1I1.BomDoc|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1||TLV62568DRLR|1-A High Efficiency Step-Down Converter in SOT Package, DRL0006A (SOT-OTHER-6)|U54|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTexas%2520Instruments%26mpn%3DTLV62568DRLR%26seller%3DDigi-Key%26sku%3D296-48708-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Texas%20Instruments{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTexas%2520Instruments%26mpn%3DTLV62568DRLR%26seller%3DDigi-Key%26sku%3D296-48708-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}TLV62568DRLR{URL.TIP}Manufacturer|Unknown|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTexas%2520Instruments%26mpn%3DTLV62568DRLR%26seller%3DDigi-Key%26sku%3D296-48708-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}296-48708-6-ND{URL.TIP}Supplier|1.14|2.28|{URL}{URL.TEXT}{URL.TIP}Component||{URL}{URL.TEXT}{URL.TIP}Manufacturer||||{URL}{URL.TEXT}{URL.TIP}Supplier|2035|||
2||SJ1-3535NG-GR|3.50mm (0.141", 1/8", Mini Plug) - Headphone Phone Jack Stereo Connector Solder|J10|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DCUI%26mpn%3DSJ1-3535NG-GR%26seller%3DDigi-Key%26sku%3DCP1-3535NG-GR-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}CUI{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DCUI%26mpn%3DSJ1-3535NG-GR%26seller%3DDigi-Key%26sku%3DCP1-3535NG-GR-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}SJ1-3535NG-GR{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DCUI%26mpn%3DSJ1-3535NG-GR%26seller%3DDigi-Key%26sku%3DCP1-3535NG-GR-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}CP1-3535NG-GR-ND{URL.TIP}Supplier|1.25|2.5|{URL}{URL.TEXT}{URL.TIP}Component||{URL}{URL.TEXT}{URL.TIP}Manufacturer||||{URL}{URL.TEXT}{URL.TIP}Supplier|26978|||
3||TXS0108ERGYR|8-Bit Bidirectional Voltage-Level Shifter For Open-Drain And Push-Pull Application, RGY0020A (VQFN-20)|U56, U57|2|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTexas%2520Instruments%26mpn%3DTXS0108ERGYR%26seller%3DDigi-Key%26sku%3D296-24806-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Texas%20Instruments{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTexas%2520Instruments%26mpn%3DTXS0108ERGYR%26seller%3DDigi-Key%26sku%3D296-24806-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}TXS0108ERGYR{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTexas%2520Instruments%26mpn%3DTXS0108ERGYR%26seller%3DDigi-Key%26sku%3D296-24806-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}296-24806-6-ND{URL.TIP}Supplier|1.82|7.28|{URL}{URL.TEXT}{URL.TIP}Component||{URL}{URL.TEXT}{URL.TIP}Manufacturer||||{URL}{URL.TEXT}{URL.TIP}Supplier|73283|||
4||32.768kHz|32.768kHz CMOS XO (Standard) Oscillator Surface Mount 1.8V 1.5mA Enable/Disable|Y7|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DAbracon%26mpn%3DASDK2-32.768KHZ-LR-T3%26seller%3DDigi-Key%26sku%3D535-13597-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Abracon{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DAbracon%26mpn%3DASDK2-32.768KHZ-LR-T3%26seller%3DDigi-Key%26sku%3D535-13597-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}ASDK2-32.768KHZ-LR-T3{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DAbracon%26mpn%3DASDK2-32.768KHZ-LR-T3%26seller%3DDigi-Key%26sku%3D535-13597-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}535-13597-6-ND{URL.TIP}Supplier|1.39|2.78|{URL}{URL.TEXT}{URL.TIP}Component||{URL}{URL.TEXT}{URL.TIP}Manufacturer||||{URL}{URL.TEXT}{URL.TIP}Supplier|9507|||
5||W3006|ANTENNA WLAN DUALBAND CERAM CHIP|A1, A2|2|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPulse%2520Electronics%26mpn%3DW3006%26seller%3DDigi-Key%26sku%3D553-1673-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Pulse%20Electronics{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPulse%2520Electronics%26mpn%3DW3006%26seller%3DDigi-Key%26sku%3D553-1673-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}W3006{URL.TIP}Manufacturer||Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPulse%2520Electronics%26mpn%3DW3006%26seller%3DDigi-Key%26sku%3D553-1673-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}553-1673-1-ND{URL.TIP}Supplier|||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPULS%26mpn%3DW3006%26seller%3DDigi-Key%26sku%3D553-1673-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}PULS{URL.TIP}Component|Unknown|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPULS%26mpn%3DW3006%26seller%3DDigi-Key%26sku%3D553-1673-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}W3006{URL.TIP}Manufacturer|Digi-Key||0|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPULS%26mpn%3DW3006%26seller%3DDigi-Key%26sku%3D553-1673-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}553-1673-1-ND{URL.TIP}Supplier||0|0|0
6||HDR 1x2|BERGSTIK II .100" SR STRAIGHT|JP2|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DAmphenol%2520FCI%26mpn%3D68001-202HLF%26seller%3DDigi-Key%26sku%3D609-3469-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Amphenol%20FCI{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DAmphenol%2520FCI%26mpn%3D68001-202HLF%26seller%3DDigi-Key%26sku%3D609-3469-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}68001-202HLF{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DAmphenol%2520FCI%26mpn%3D68001-202HLF%26seller%3DDigi-Key%26sku%3D609-3469-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}609-3469-ND{URL.TIP}Supplier|0.23|0.92|{URL}{URL.TEXT}{URL.TIP}Component||{URL}{URL.TEXT}{URL.TIP}Manufacturer||||{URL}{URL.TEXT}{URL.TIP}Supplier|15962|||
7||HDR 1x2|BERGSTIK II .100" SR STRAIGHT|JP3|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DAmphenol%2520FCI%26mpn%3D68001-202HLF%26seller%3DDigi-Key%26sku%3D609-3469-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Amphenol%20FCI{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DAmphenol%2520FCI%26mpn%3D68001-202HLF%26seller%3DDigi-Key%26sku%3D609-3469-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}68001-202HLF{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DAmphenol%2520FCI%26mpn%3D68001-202HLF%26seller%3DDigi-Key%26sku%3D609-3469-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}609-3469-ND{URL.TIP}Supplier|0.23|0.92|{URL}{URL.TEXT}{URL.TIP}Component||{URL}{URL.TEXT}{URL.TIP}Manufacturer||||{URL}{URL.TEXT}{URL.TIP}Supplier|15962|||
8||10n|CAP CER .01UF 16V 10% X5R 0201|C152|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DGRM033R61E103KA12D%26seller%3DDigi-Key%26sku%3D490-7194-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Murata{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DGRM033R61E103KA12D%26seller%3DDigi-Key%26sku%3D490-7194-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}GRM033R61E103KA12D{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DGRM033R61E103KA12D%26seller%3DDigi-Key%26sku%3D490-7194-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}490-7194-1-ND{URL.TIP}Supplier|0.1|0.2|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DC0603X5R1C103K030BA%26seller%3DDigi-Key%26sku%3D490-7194-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}TDK{URL.TIP}Component|Volume Production|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DC0603X5R1C103K030BA%26seller%3DDigi-Key%26sku%3D490-7194-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}C0603X5R1C103K030BA{URL.TIP}Manufacturer|Digi-Key|||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DC0603X5R1C103K030BA%26seller%3DDigi-Key%26sku%3D490-7194-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}490-7194-1-ND{URL.TIP}Supplier|0|||
9||0.047u|CAP CER 0.047UF 25V X7R 0402|C480, C492|2|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC0402C473K3RACAUTO%26seller%3DDigi-Key%26sku%3D399-15998-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}KEMET{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC0402C473K3RACAUTO%26seller%3DDigi-Key%26sku%3D399-15998-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}C0402C473K3RACAUTO{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC0402C473K3RACAUTO%26seller%3DDigi-Key%26sku%3D399-15998-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}399-15998-6-ND{URL.TIP}Supplier|0.18|0.72|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DGRM155R71E473KA88D%26seller%3DDigi-Key%26sku%3D399-15998-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Murata{URL.TIP}Component|Volume Production|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DGRM155R71E473KA88D%26seller%3DDigi-Key%26sku%3D399-15998-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}GRM155R71E473KA88D{URL.TIP}Manufacturer|Digi-Key|||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DGRM155R71E473KA88D%26seller%3DDigi-Key%26sku%3D399-15998-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}399-15998-6-ND{URL.TIP}Supplier|100000|||
10||100n|CAP CER .10UF 50V X5R 10% 0402|C248, C261|2|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DCC0402KRX5R8BB104%26seller%3DDigi-Key%26sku%3D311-1697-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Yageo{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DCC0402KRX5R8BB104%26seller%3DDigi-Key%26sku%3D311-1697-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}CC0402KRX5R8BB104{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DCC0402KRX5R8BB104%26seller%3DDigi-Key%26sku%3D311-1697-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}311-1697-6-ND{URL.TIP}Supplier|0.0254|8.59|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DC1005X5R1H104K050BB%26seller%3DDigi-Key%26sku%3D311-1697-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}TDK{URL.TIP}Component|Volume Production|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DC1005X5R1H104K050BB%26seller%3DDigi-Key%26sku%3D311-1697-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}C1005X5R1H104K050BB{URL.TIP}Manufacturer|Digi-Key|||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DC1005X5R1H104K050BB%26seller%3DDigi-Key%26sku%3D311-1697-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}311-1697-6-ND{URL.TIP}Supplier|100000|||
